Event Name,Athlete Name,Team,Mark,Event Type
1000,"Davis, Liam",Colgate (M),2:27.85,Individual
Mile,"Ebmeyer, Dakin",Colgate (M),4:07.90,Individual
3000,"Holland , Owen",Colgate (M),8:28.78#,Individual
5000,"Holland, Owen",Colgate (M),14:58.35,Individual
60H,"Sturgeon, Luca",Colgate (M),9.14,Individual
4x400,"Luca Sturgeon, Ryan Krill, Joshua Antoine, Jeffory Groth",Colgate (M),3:20.26,Relay
4x800,"Owen DeMatt, Nicholas Larson, Tyler Ferlise, William Keiser",Colgate (M),7:54.43,Relay
DMR,"Dakin Ebmeyer, Ethan Eisner, Benjamin Horner, Liam Davis",Colgate (M),9:53.21,Relay
HJ,"Lynett, Bo",Colgate (M),1.80m,Individual
PV,"Epstein, Samuel",Colgate (M),4.63m,Individual
LJ,"Blair, Cole",Colgate (M),7.19m,Individual
TJ,"Blair , Cole",Colgate (M),14.23m,Individual
WT,"Johnson, Nick",Colgate (M),13.72m,Individual
60,"Gillis, Clare",Colgate (F),7.84,Individual
200,"Gillis, Clare",Colgate (F),24.99,Individual
300,"Gillis, Clare",Colgate (F),40.30,Individual
400,"Tabibian, Sara",Colgate (F),58.47,Individual
500,"Toscano, Izabella",Colgate (F),1:23.39,Individual
800,"Mellin, Carollin",Colgate (F),2:14.99,Individual
1000,"Greenlee, Ryan",Colgate (F),3:20.76,Individual
Mile,"Luell, Audrey",Colgate (F),5:05.15,Individual
3000,"Luell, Audrey",Colgate (F),10:41.87,Individual
60H,"George, Kiran",Colgate (F),9.06,Individual
4x400,"Sara Tabibian, Clare Gillis, Carollin Mellin, Izabella Toscano",Colgate (F),3:58.10,Relay
4x800,"Frances Munger, Izabella Toscano, Oonagh Last, Maddox Miller",Colgate (F),10:36.88,Relay
DMR,"Grace Myers, Oonagh Last, Hailey Bradley, Audrey Luell",Colgate (F),12:26.22,Relay
HJ,"George, Kiran",Colgate (F),1.68m,Individual
PV,"Haagensen, Melinda",Colgate (F),3.85m,Individual
LJ,"Haagensen, Melinda",Colgate (F),4.96m,Individual
SP,"George, Kiran",Colgate (F),8.61m,Individual
Pent,"George, Kiran",Colgate (F),3052,Individual
60,"Kwaateng, Richmond",Connecticut (M),6.78,Individual
200,"Simpson, Damon",Connecticut (M),21.46,Individual
300,"Gongon, Noble",Connecticut (M),35.36,Individual
400,"Rajamanickam, Anish",Connecticut (M),47.91,Individual
500,"Singletary, Orenthal",Connecticut (M),1:06.10,Individual
600,"Sutton, Stephen",Connecticut (M),1:19.17,Individual
800,"Sharif, Mahamed",Connecticut (M),1:49.02,Individual
1000,"Martin, Travis",Connecticut (M),2:22.99,Individual
Mile,"Martin, Travis",Connecticut (M),4:01.59,Individual
3000,"Martin, Travis",Connecticut (M),8:02.04,Individual
5000,"Lepore, Christopher",Connecticut (M),14:10.17,Individual
60H,"Williams, Terrel",Connecticut (M),7.70,Individual
4x400,"Joseph O'Brien, Anish Rajamanickam, Mekhi Stone, Orenthal Singletary",Connecticut (M),3:14.56,Relay
4x800,"Samuel Geisler, Sean Ahern, Kevin Cawley, Stephen Sutton",Connecticut (M),7:50.59,Relay
DMR,"Travis Martin, Mahamed Sharif, Samuel Geisler, Kevin Cawley",Connecticut (M),9:46.07,Relay
HJ,"Osunniyi, Mawali",Connecticut (M),2.17m,Individual
PV,"Snyder, Travis",Connecticut (M),5.40m,Individual
LJ,"Morrison, Marc",Connecticut (M),7.59m,Individual
TJ,"Johnson, Kyle",Connecticut (M),15.43m,Individual
SP,"Connolly, Nicholas",Connecticut (M),16.50m,Individual
WT,"Roux, Travis",Connecticut (M),20.54m,Individual
Hep,"Mooney, Joshua",Connecticut (M),5404,Individual
60,"Dansby, Mia",Connecticut (F),7.47,Individual
200,"Dansby, Mia",Connecticut (F),24.73,Individual
300,"Jackson, Ta'Jae",Connecticut (F),40.57,Individual
400,"Connors, Anna",Connecticut (F),55.30,Individual
500,"Connors, Anna",Connecticut (F),1:16.53,Individual
600,"Perrotta, Megan",Connecticut (F),1:36.40,Individual
800,"Elliott, Alyssa",Connecticut (F),2:14.36,Individual
1000,"Zydanowicz, Jenna",Connecticut (F),2:46.67,Individual
Mile,"Zydanowicz, Jenna",Connecticut (F),4:40.08,Individual
3000,"Zydanowicz, Jenna",Connecticut (F),9:16.04,Individual
5000,"Towle, Caroline",Connecticut (F),16:36.16,Individual
60H,"Ash, Jailya",Connecticut (F),8.19,Individual
4x400,"Jessica Starr, Jalah Cooper, Anna Connors, Raquel Rosa",Connecticut (F),3:44.54,Relay
4x800,"Danielle Adams, Caroline Rice, Allison McCarthy, Calista Mayer",Connecticut (F),9:05.95,Relay
DMR,"Danielle Adams, Gabrielle Davis, Calista Mayer, Chloe Trudel",Connecticut (F),11:49.59,Relay
HJ,"Mroczkowski, Patricia",Connecticut (F),1.75m,Individual
PV,"Malz, Mallory",Connecticut (F),3.80m,Individual
LJ,"Thomas, A'liyah",Connecticut (F),6.25m,Individual
TJ,"Barrow, Jasmine",Connecticut (F),13.04m,Individual
SP,"Fryer, Sinclaire",Connecticut (F),14.03m,Individual
WT,"Surdej, Natalia",Connecticut (F),19.25m,Individual
Pent,"Elliott, Alyssa",Connecticut (F),3817,Individual
60,"Hammond, Solomon",Coppin State (M),6.67,Individual
200,"Hammond, Solomon",Coppin State (M),20.90,Individual
300,"Wright, Noxroy",Coppin State (M),33.95,Individual
400,"Drakes, Carl",Coppin State (M),47.81,Individual
500,"Gentles, Jarrett",Coppin State (M),1:03.96,Individual
600,"Gentles, Jarrett",Coppin State (M),1:18.34,Individual
800,"Francis, Asa",Coppin State (M),1:51.84,Individual
1000,"Francis, Asa",Coppin State (M),2:29.20,Individual
Mile,"Nura, Humed",Coppin State (M),4:38.42,Individual
3000,"Nura, Humed",Coppin State (M),9:04.71,Individual
5000,"Nura, Humed",Coppin State (M),16:08.56,Individual
60H,"Harris, Anthony",Coppin State (M),8.43,Individual
4x400,"Daniel Cunningham, Carl Drakes, Jarrett Gentles, Asa Francis",Coppin State (M),3:09.88,Relay
DMR,"Asa Francis, Etiam Torgbenu, Jayeed Norbal, Humed Nura",Coppin State (M),10:32.66,Relay
HJ,"Bell, James",Coppin State (M),2.01m,Individual
PV,"Betton, Andrew",Coppin State (M),3.90m,Individual
LJ,"Hammond, Jeff",Coppin State (M),7.52m,Individual
SP,"Betton, Andrew",Coppin State (M),10.36m,Individual
Hep,"Betton, Andrew",Coppin State (M),4082,Individual
60,"Kwartemaa, Benidicta",Coppin State (F),7.52,Individual
200,"Hor, Halutie",Coppin State (F),24.12,Individual
400,"Alphonse, Kimani",Coppin State (F),55.26,Individual
500,"Alphonse, Kimani",Coppin State (F),1:15.52,Individual
800,"Woodrum, Kaelyn",Coppin State (F),2:28.63,Individual
60H,"Palmer, Erin",Coppin State (F),8.73,Individual
4x400,"Kimani Alphonse, Tracey Riley, Halutie Hor, Destinee Mcloud",Coppin State (F),3:48.02,Relay
HJ,"Woodrum, Kaelyn",Coppin State (F),1.48m,Individual
LJ,"Richards, Woizero",Coppin State (F),5.24m,Individual
SP,"Perry, Raniya",Coppin State (F),10.10m,Individual
Pent,"Woodrum, Kaelyn",Coppin State (F),3128,Individual
60,"Mellinger, Ezra",Duke (M),6.72,Individual
200,"Mellinger, Ezra",Duke (M),20.97,Individual
300,"Odungide, Seinyi-Abasi",Duke (M),36.81,Individual
400,"Rodriguez, Alejandro",Duke (M),47.85,Individual
600,"Rodriguez, Alejandro",Duke (M),1:19.59,Individual
800,"Drometer, Owen",Duke (M),1:49.70,Individual
1000,"Drometer, Owen",Duke (M),2:28.67,Individual
1500,"Wittstadt, Beck",Duke (M),3:43.56,Individual
Mile,"Wittstadt, Beck",Duke (M),4:00.12,Individual
3000,"Gabay, Austin",Duke (M),7:58.94,Individual
5000,"Kreis, Jared",Duke (M),14:12.86,Individual
60H,"Scherk, Michael",Duke (M),8.33,Individual
4x400,"Michael Bennett, Maxwell Forte, Gage Knight, Andrew Colbert",Duke (M),3:16.67,Relay
DMR,"Austin Gabay, Alejandro Rodriguez, Owen Drometer, Beck Wittstadt",Duke (M),9:29.20,Relay
HJ,"Janish, Grant",Duke (M),1.95m,Individual
PV,"Meseck-Schick, Shay",Duke (M),4.85m,Individual
LJ,"Forte, Maxwell",Duke (M),7.66m,Individual
TJ,"Herzog, Michael",Duke (M),15.05m,Individual
SP,"Colbert, Andrew",Duke (M),13.61m,Individual
WT,"Johnson, Christian",Duke (M),21.92m,Individual
Hep,"Bennett, Michael",Duke (M),5138,Individual
60,"Bieber, Halle",Duke (F),7.41,Individual
200,"Bieber, Halle",Duke (F),23.30,Individual
300,"Martin, Tina",Duke (F),38.59,Individual
400,"Jackson, Julia",Duke (F),52.74,Individual
600,"Tolbert, Lauren",Duke (F),1:30.29,Individual
800,"Fenerty, Julia",Duke (F),2:05.80,Individual
1000,"Fenerty, Julia",Duke (F),2:46.34,Individual
1500,"Maatoug, Amina",Duke (F),4:10.97,Individual
Mile,"Maatoug, Amina",Duke (F),4:29.22,Individual
3000,"Maatoug, Amina",Duke (F),8:46.89,Individual
5000,"Wilson, Kelli",Duke (F),16:56.80,Individual
60H,"Smith, Brianna",Duke (F),8.74,Individual
4x400,"Julia Jackson, Tina Martin, Halle Bieber, Lauren Tolbert",Duke (F),3:34.15,Relay
DMR,"Julia Fenerty, Julia Jackson, Lauren Tolbert, Amina Maatoug",Duke (F),10:59.81,Relay
HJ,"Smith, Brianna",Duke (F),1.79m,Individual
PV,"Sommers, Paige",Duke (F),4.24m,Individual
LJ,"Smith, Brianna",Duke (F),5.93m,Individual
TJ,"Rozario, Tia",Duke (F),12.81m,Individual
SP,"Mason, MaKayla",Duke (F),17.38m,Individual
WT,"Mitchell, Moorea",Duke (F),20.81m,Individual
Pent,"Smith, Brianna",Duke (F),4132,Individual
60,"Burris, Royal",East Carolina (M),6.71,Individual
200,"Burris, Royal",East Carolina (M),21.26,Individual
300,"Burris, Royal",East Carolina (M),33.79,Individual
400,"Green, Jaelyn",East Carolina (M),48.86,Individual
800,"Sawyer, Alex",East Carolina (M),1:55.59,Individual
1000,"Sawyer, Alex",East Carolina (M),2:27.45,Individual
Mile,"Osborne, Chase",East Carolina (M),4:17.39,Individual
3000,"Lyon, Henry",East Carolina (M),8:26.49,Individual
5000,"McCauley, Colin",East Carolina (M),14:53.91,Individual
60H,"Booth, Terence",East Carolina (M),7.88,Individual
4x400,"Jaelyn Green, Everton Muir, Royal Burris, Blake Moody",East Carolina (M),3:15.46,Relay
DMR,"Nick Willer, Jaelyn Green, Chase Osborne, Henry Lyon",East Carolina (M),10:06.54,Relay
HJ,"Vesper, Starrett",East Carolina (M),1.76m,Individual
PV,"Vesper, Starrett",East Carolina (M),4.85m,Individual
LJ,"Harrell, Jared",East Carolina (M),7.26m,Individual
TJ,"Williams, Nathaniel",East Carolina (M),15.42m,Individual
SP,"Dacres, Shakiel",East Carolina (M),16.57m,Individual
WT,"Lasure, Brock",East Carolina (M),16.39m,Individual
Hep,"Vesper, Starrett",East Carolina (M),4797,Individual
60,"Mouzzon, Melicia",East Carolina (F),7.27,Individual
200,"Mouzzon, Melicia",East Carolina (F),23.38,Individual
300,"Mouzzon, Melicia",East Carolina (F),39.30,Individual
400,"Gore, Nyah",East Carolina (F),56.60,Individual
600,"Schlossberg, Lily",East Carolina (F),1:37.98,Individual
800,"Schlossberg, Lily",East Carolina (F),2:14.86,Individual
1000,"Schwietzer, Abrielle",East Carolina (F),3:06.35,Individual
Mile,"Schlossberg, Lily",East Carolina (F),5:00.02#,Individual
3000,"Zack, Alyssa",East Carolina (F),9:45.20,Individual
5000,"Zack, Alyssa",East Carolina (F),16:53.42,Individual
60H,"McMillan, Sydni",East Carolina (F),8.27,Individual
4x400,"Nyah Gore, Calandra Henry, Sydni McMillan, Melicia Mouzzon",East Carolina (F),3:52.87#,Relay
DMR,"Lily Schlossberg, Makhia Jarrett, Sarah-Ann Miller, Navaya Zales",East Carolina (F),12:02.33,Relay
HJ,"Spencer, Faith",East Carolina (F),1.68m,Individual
PV,"Cardin, Rileigh",East Carolina (F),3.83m,Individual
LJ,"Harrelson, Skyler",East Carolina (F),5.81m,Individual
TJ,"Carpenter, L'nya",East Carolina (F),12.61m,Individual
SP,"Faison, Naadiya",East Carolina (F),15.63m,Individual
WT,"Edwards, Nyah",East Carolina (F),19.34m,Individual
55,"Esteves, Raul",FDU (M),6.46,Individual
60,"Esteves, Raul",FDU (M),6.95(55),Individual
200,"Esteves, Raul",FDU (M),22.69,Individual
300,"Mercado, Christian",FDU (M),37.78,Individual
400,"Massari, Anthony",FDU (M),51.04,Individual
500,"Massari, Anthony",FDU (M),1:08.25,Individual
800,"Barreto, Brandon",FDU (M),1:58.21,Individual
1000,"Conteh, Ekuyami",FDU (M),2:39.71,Individual
Mile,"Barreto, Brandon",FDU (M),4:33.86#,Individual
3000,"Abreu, Luis",FDU (M),9:14.85,Individual
5000,"Abreu, Luis",FDU (M),16:02.35,Individual
55H,"Olulande, Rilwan",FDU (M),8.18,Individual
60H,"Kizer, Duane",FDU (M),8.06,Individual
4x400,"Anthony Massari, Dean Joseph, Tele Abe, Duane Kizer",FDU (M),3:27.38,Relay
4x800,"Brandon Barreto, Ekuyami Conteh, Terry Scott, Luis Abreu",FDU (M),8:03.51,Relay
DMR,"Brandon Barreto, Dean Joseph, Ekuyami Conteh, Trevor Ehrlicher",FDU (M),10:41.73#,Relay
HJ,"Olulande, Rilwan",FDU (M),1.84m,Individual
LJ,"Mane, Salif",FDU (M),7.84m,Individual
TJ,"Mane, Salif",FDU (M),16.69m,Individual
SP,"Brown, Ahmed",FDU (M),14.89m,Individual
WT,"Brown, Ahmed",FDU (M),13.96m,Individual
55,"Rolle, Onnieka",FDU (F),7.09,Individual
60,"Rolle, Onnieka",FDU (F),7.64(55),Individual
200,"Lowder, Anaya",FDU (F),25.67,Individual
400,"Lowder, Anaya",FDU (F),58.35,Individual
500,"Lowder, Anaya",FDU (F),1:23.95,Individual
800,"Coulibaly, Tata",FDU (F),3:06.60#,Individual
1000,"James, Woizert",FDU (F),4:01.54,Individual
55H,"Coulibaly, Tata",FDU (F),8.23,Individual
60H,"Coulibaly, Tata",FDU (F),8.86(55),Individual
4x400,"Anaya Lowder, Onnieka Rolle, Meghan Porter, Taliyah Furtick",FDU (F),4:12.02,Relay
HJ,"Coulibaly, Tata",FDU (F),1.40m,Individual
LJ,"Williams, Amiyah",FDU (F),5.51m,Individual
TJ,"Etong Ntonga, Marie",FDU (F),11.96m,Individual
SP,"Wiltshire, Nilaja",FDU (F),12.86m,Individual
WT,"Wiltshire, Nilaja",FDU (F),15.21m,Individual
Pent,"Coulibaly, Tata",FDU (F),2814#,Individual
600,"Gomez, Sabrina",FIU (F),1:36.89,Individual
800,"Martin Del Campo, Ane",FIU (F),2:08.96,Individual
Mile,"Lastra, Valerie",FIU (F),4:38.46,Individual
3000,"Lastra, Valerie",FIU (F),9:33.07,Individual
5000,"San Roman Lopez, Ania",FIU (F),17:45.54,Individual
60H,"Declet, Fabiola",FIU (F),8.78,Individual
4x400,"Fabiola Declet, Shelly Bruchstein, Sabrina Gomez, Ane Martin Del Camp",FIU (F),3:56.93,Relay
DMR,"Lorena Bartakovic, Ane Martin Del Camp, Sabrina Gomez, Valerie Lastra",FIU (F),11:49.62,Relay
HJ,"Luik, Isabell",FIU (F),1.70m,Individual
PV,"Janse Van Rensburg, Nicole",FIU (F),4.15m,Individual
LJ,"Declet, Fabiola",FIU (F),5.87m,Individual
TJ,"Mcgonigle, Danielle",FIU (F),11.94m,Individual
SP,"Cesar, Janiya",FIU (F),13.55m,Individual
WT,"Valentin, Michaelle",FIU (F),20.80m,Individual
Pent,"Declet, Fabiola",FIU (F),3684,Individual
60,"Weddington, Christian",Fordham (M),6.89,Individual
200,"Carter, Jabril",Fordham (M),22.22,Individual
300,"Volz, Liam",Fordham (M),35.86,Individual
400,"Nurse , Matthew",Fordham (M),49.87,Individual
500,"Brown, Erik",Fordham (M),1:05.49,Individual
800,"Rinn, Trevor",Fordham (M),1:54.03,Individual
1000,"Bezuneh, Nathaniel",Fordham (M),2:26.20,Individual
Mile,"Flood , Colin",Fordham (M),4:06.13,Individual
3000,"Sanchez, Rodolfo",Fordham (M),8:05.24,Individual
5000,"Zucca , Steve",Fordham (M),14:32.66,Individual
60H,"Pomer, George",Fordham (M),9.32,Individual
4x400,"Dakota Strain, Chris Martinez, Matthew Nurse, Sam Freeman",Fordham (M),3:17.40,Relay
4x800,"Trevor Rinn, Sean Reidy, Darren Croke, Colin Flood",Fordham (M),7:42.47,Relay
DMR,"Nathaniel Bezuneh, Erik Brown, Trevor Rinn, Sean Reidy",Fordham (M),9:53.86,Relay
HJ,"Elam, DaRon",Fordham (M),1.92m,Individual
PV,"Croke, Michael",Fordham (M),4.35m,Individual
LJ,"Galante , Eric",Fordham (M),6.80m,Individual
TJ,"Rhee, Justin",Fordham (M),13.53m,Individual
SP,"Pomer, George",Fordham (M),8.52m,Individual
Hep,"Pomer, George",Fordham (M),3698,Individual
60,"Hill, Kyla",Fordham (F),7.59,Individual
200,"Hill, Kyla",Fordham (F),24.41,Individual
300,"Hill, Kyla",Fordham (F),39.99,Individual
400,"Hill, Kyla",Fordham (F),55.58,Individual
500,"Mulvaney , Molly",Fordham (F),1:21.30,Individual
800,"Underwood, Mary Kathryn",Fordham (F),2:13.61,Individual
1000,"Gotzman, Meredith",Fordham (F),2:55.64,Individual
Mile,"Gotzman, Meredith",Fordham (F),4:59.37,Individual
3000,"Gotzman, Meredith",Fordham (F),10:07.43,Individual
5000,"McDonagh, Caroline",Fordham (F),17:35.02,Individual
60H,"Ritz, Kylie",Fordham (F),8.96,Individual
4x200,"Skylar Harris, Caroline Fallona, Nicole Lytle, Kylie Ritz",Fordham (F),1:44.97,Relay
4x400,"Michele Daye, Alexandra Williams, Dillyn Green, Kyla Hill",Fordham (F),3:45.68,Relay
4x800,"Brenna Sears, Kate Meeks, Mary Kathryn Underwood, Megan McCann",Fordham (F),9:23.34,Relay
DMR,"Alexandra Thomas, Alexandra Williams, Megan McCann, Meredith Gotzman",Fordham (F),12:20.42,Relay
HJ,"Ruvo, Leia",Fordham (F),1.64m,Individual
PV,"Gier, Michaela",Fordham (F),3.32m,Individual
LJ,"Harris , Skylar",Fordham (F),5.41m,Individual
TJ,"Ruvo, Leia",Fordham (F),11.38m,Individual
SP,"Cooley , Sarah",Fordham (F),11.97m,Individual
WT,"Cooley , Sarah",Fordham (F),13.30m,Individual
60,"Wright-Phillips, Nico",Gardner-Webb (M),7.09,Individual
200,"Meadows, Noah",Gardner-Webb (M),21.99,Individual
300,"Meadows, Noah",Gardner-Webb (M),35.01,Individual
400,"Meadows, Noah",Gardner-Webb (M),51.28,Individual
600,"Morita, Ryan",Gardner-Webb (M),1:22.77,Individual
800,"Cremin, Nathan",Gardner-Webb (M),1:51.79,Individual
1000,"Morita, Ryan",Gardner-Webb (M),2:35.25,Individual
Mile,"Morita, Ryan",Gardner-Webb (M),4:26.89,Individual
3000,"Pratt, Kaden",Gardner-Webb (M),9:43.17,Individual
60H,"Peebles, TJ",Gardner-Webb (M),8.17,Individual
4x400,"DJ Black, Noah Meadows, Nathan Cremin, Ryan Morita",Gardner-Webb (M),3:24.83,Relay
4x800,"Kaden Pratt, Ryan Morita, Mark Mellon, Nathan Cremin",Gardner-Webb (M),8:09.36,Relay
DMR,"Ethan Bentley, DJ Black, Mark Mellon, Kaden Pratt",Gardner-Webb (M),11:10.11,Relay
HJ,"Timpson, Jonathan",Gardner-Webb (M),1.98m,Individual
PV,"Jones, Mason",Gardner-Webb (M),2.05m,Individual
LJ,"Meadows, Noah",Gardner-Webb (M),7.09m,Individual
TJ,"Cuesta, Eliel",Gardner-Webb (M),12.80m,Individual
SP,"Peterson, Quentin",Gardner-Webb (M),17.42m,Individual
WT,"Peterson, Quentin",Gardner-Webb (M),17.85m,Individual
Hep,"Jones, Mason",Gardner-Webb (M),3980,Individual
60,"Spencer, Anna",Gardner-Webb (F),7.62,Individual
200,"Spencer, Anna",Gardner-Webb (F),24.79,Individual
300,"Spencer, Anna",Gardner-Webb (F),41.07,Individual
400,"Ivanov, Alena",Gardner-Webb (F),57.61,Individual
600,"Perriello, Jessica",Gardner-Webb (F),1:38.84,Individual
800,"Perriello, Jessica",Gardner-Webb (F),2:17.40,Individual
1000,"Escalera, Jennifer",Gardner-Webb (F),3:15.64,Individual
Mile,"Perriello, Jessica",Gardner-Webb (F),5:13.33,Individual
3000,"Escalera, Jennifer",Gardner-Webb (F),11:25.80,Individual
60H,"vanSintemaartensdijk, Isa",Gardner-Webb (F),9.39,Individual
4x400,"Anna Spencer, Alena Ivanov, Traci Cross, Deborah Marlow",Gardner-Webb (F),3:53.65,Relay
DMR,"Chloe McDaniel, Amira Austin, Teryn Bour, Jennifer Escalera",Gardner-Webb (F),13:38.96,Relay
HJ,"Eugene, Alyiah",Gardner-Webb (F),1.63m,Individual
PV,"Abbott, Saylor",Gardner-Webb (F),2.90m,Individual
LJ,"Clemons, Teandra",Gardner-Webb (F),5.59m,Individual
TJ,"Clemons, Teandra",Gardner-Webb (F),11.86m,Individual
SP,"Johnson, Zoie",Gardner-Webb (F),12.30m,Individual
WT,"Taylor, Karmen",Gardner-Webb (F),17.58m,Individual
Pent,"vanSintemaartensdijk, Isa",Gardner-Webb (F),3330,Individual
60,"Paige, Joshua",Georgetown (M),6.85,Individual
200,"Paige, Joshua",Georgetown (M),20.90,Individual
300,"Givan, Nicholas",Georgetown (M),34.54,Individual
400,"Givan, Nicholas",Georgetown (M),48.35,Individual
500,"McInerney, Tim",Georgetown (M),1:04.24,Individual
600,"Matsatsa, Tinoda",Georgetown (M),1:16.68,Individual
800,"Matsatsa, Tinoda",Georgetown (M),1:46.87,Individual
1000,"Matsatsa, Tinoda",Georgetown (M),2:18.05,Individual
1500,"Teffra, Abel",Georgetown (M),3:39.27,Individual
Mile,"Teffra, Abel",Georgetown (M),3:54.62,Individual
3000,"Herold, Peter",Georgetown (M),7:55.97,Individual
5000,"Herold, Peter",Georgetown (M),14:05.66,Individual
4x400,"Nicholas Givan, Joshua Paige, Tim McInerney, Tinoda Matsatsa",Georgetown (M),3:13.15,Relay
4x800,"Lucas Guerra, Ryan Mulrooney, Camden Gilmore, Parker Stokes",Georgetown (M),7:26.90,Relay
DMR,"Matthew Payamps, Nicholas Givan, Tinoda Matsatsa, Abel Teffra",Georgetown (M),9:23.78,Relay
LJ,"Pitt, Christopher",Georgetown (M),6.64m,Individual
60,"Ochan, Rebecca",Georgetown (F),7.59,Individual
200,"Drayton, Maya",Georgetown (F),24.18,Individual
300,"Drayton, Maya",Georgetown (F),38.85,Individual
400,"Drayton, Maya",Georgetown (F),55.06,Individual
500,"Brown, Kaira",Georgetown (F),1:14.21,Individual
600,"Dinneen, Sierra",Georgetown (F),1:34.17,Individual
800,"Riggins, Melissa",Georgetown (F),2:03.42,Individual
1000,"Riggins, Melissa",Georgetown (F),2:40.67,Individual
1500,"Gonzalez, Chloe",Georgetown (F),4:24.18,Individual
Mile,"Riggins, Melissa",Georgetown (F),4:30.73,Individual
3000,"Scrimgeour, Chloe",Georgetown (F),8:50.97,Individual
5000,"Scrimgeour, Chloe",Georgetown (F),15:24.36,Individual
60H,"Smiechowski, Grace",Georgetown (F),8.91,Individual
4x400,"Kaira Brown, Rebecca Ochan, KC Ashiogwu, Maya Drayton",Georgetown (F),3:40.77,Relay
4x800,"Sierra Dinneen, DeAnna Martin, Melissa Riggins, Chloe Gonzalez",Georgetown (F),8:44.66,Relay
DMR,"Anya Hirschfeld, DeAnna Martin, Sierra Dinneen, Chloe Scrimgeour",Georgetown (F),11:28.81,Relay
LJ,"Emery, Alexis",Georgetown (F),4.91m,Individual
TJ,"Emery, Alexis",Georgetown (F),11.38m,Individual
60,"Towns, Qhiyal",Hampton (M),6.74,Individual
200,"Towns, Qhiyal",Hampton (M),21.54,Individual
400,"Spencer, Antoine",Hampton (M),48.32,Individual
500,"Blackman, Dugion",Hampton (M),1:02.75,Individual
800,"Davis, Leo",Hampton (M),1:47.05,Individual
1000,"Otusaio, Korede",Hampton (M),2:34.92,Individual
Mile,"Davis, Leo",Hampton (M),4:16.91,Individual
60H,"Akande, Olakunle",Hampton (M),8.12,Individual
4x400,,Hampton (M),3:14.95,Relay
HJ,"Osagie-Erese, Prince",Hampton (M),1.89m,Individual
PV,"Tucker, Floyd",Hampton (M),4.50m,Individual
LJ,"Fonville, Kelvin",Hampton (M),7.35m,Individual
TJ,"Branch, Ellis",Hampton (M),14.40m,Individual
SP,"Karib-Whyte, Daye",Hampton (M),13.38m,Individual
WT,"Miller, Fanon",Hampton (M),14.77m,Individual
Hep,"Tucker, Floyd",Hampton (M),4069,Individual
60,"Pruitt, Morgan",Hampton (F),7.85,Individual
200,"Pruitt, Morgan",Hampton (F),24.90,Individual
400,"Grant, Dejah",Hampton (F),55.15,Individual
500,"Spencer, Kayla",Hampton (F),1:14.54,Individual
600,"Gilmer, Arriah",Hampton (F),1:40.44,Individual
800,"Mozie, Jordan",Hampton (F),2:05.48,Individual
Mile,"Mozie, Jordan",Hampton (F),4:55.29,Individual
3000,"Mozie, Jordan",Hampton (F),10:27.85,Individual
60H,"Bernard, Anissa",Hampton (F),8.77,Individual
4x400,"Kayla Spencer, Morgan Pruitt, Jordan Mozie, Dejah Grant",Hampton (F),3:43.41,Relay
HJ,"Shaw, Emmani",Hampton (F),1.76m,Individual
LJ,"Hanks, Maya",Hampton (F),6.04m,Individual
TJ,"Bernard, Anissa",Hampton (F),12.17m,Individual
SP,"Smith, Abria",Hampton (F),15.84m,Individual
WT,"Smith, Abria",Hampton (F),18.30m,Individual
Pent,"Shaw, Emmani",Hampton (F),3492,Individual
60,"Tabois, Jadyn",Iona (M),6.84,Individual
200,"Tabois, Jadyn",Iona (M),21.05,Individual
300,"Providence, Jordan",Iona (M),35.26,Individual
400,"Tabois, Jadyn",Iona (M),49.41,Individual
800,"Soldevere, Nick",Iona (M),1:51.32,Individual
1000,"Deane, Caleb",Iona (M),2:32.40,Individual
Mile,"Dilcher, Damien",Iona (M),3:59.52,Individual
3000,"Giblin, Bradley",Iona (M),7:55.17,Individual
5000,"Dilcher, Damien",Iona (M),13:55.44,Individual
60H,"Holloway, Keith",Iona (M),8.53,Individual
4x200,"Edmund Lok, Evan Gralitzer, Miguel Gonzalez, Jevon Bolt",Iona (M),1:34.98,Relay
4x400,"Jadyn Tabois, Jordan Providence, Cameron Washington, Jeremy Scott",Iona (M),3:19.88,Relay
4x800,"Caleb Deane, Tristan Coles, Nick Soldevere, Aiden Coles",Iona (M),7:42.18,Relay
DMR,"Matt Rankin, Jeremy Scott, Tristan Coles, Damien Dilcher",Iona (M),10:00.31,Relay
SP,"Khader, John",Iona (M),11.27m,Individual
60,"Sonski, Lauren",Iona (F),8.32,Individual
200,"Sonski, Lauren",Iona (F),27.14,Individual
300,"Jefremow, Nadine",Iona (F),45.28,Individual
400,"Sonski, Lauren",Iona (F),1:01.00,Individual
800,"Sterbenz, Megan",Iona (F),2:17.82,Individual
1000,"Overton, Lily",Iona (F),2:57.24,Individual
Mile,"Smith, Holly",Iona (F),4:53.76,Individual
3000,"Smith, Holly",Iona (F),9:28.30,Individual
5000,"Smith, Holly",Iona (F),16:39.54,Individual
4x400,"Jamie Gudyka, Nadine Jefremow, Katie Menard, Megan Sterbenz",Iona (F),4:10.44,Relay
4x800,"Katie Menard, Lily Overton, Claragh Keane, Cosmina Spiridon",Iona (F),9:43.11,Relay
DMR,"McKenna Arguien, Nadine Jefremow, Katie Menard, Kate Tugman",Iona (F),12:31.70,Relay
LJ,"Fullerton, Tonian",Iona (F),5.04m,Individual
